text,intent
I am unhappy with the service.,Complaint
"Hello, I want to complain about my order.",Complaint
"Dear Team, The product I received is damaged.",Complaint
My order arrived late. Please help me.,Complaint
The item I purchased is defective. Thank you.,Complaint
I received the wrong product.,Complaint
"Hello, The customer service was very poor.",Complaint
"Dear Team, I am not satisfied with the product.",Complaint
I want a refund for the damaged item. Please help me.,Complaint
My payment was charged twice. Thank you.,Complaint
I am unhappy with the service.,Complaint
"Hello, I want to complain about my order.",Complaint
"Dear Team, The product I received is damaged.",Complaint
My order arrived late. Please help me.,Complaint
The item I purchased is defective. Thank you.,Complaint
I received the wrong product.,Complaint
"Hello, The customer service was very poor.",Complaint
"Dear Team, I am not satisfied with the product.",Complaint
I want a refund for the damaged item. Please help me.,Complaint
My payment was charged twice. Thank you.,Complaint
I am unhappy with the service.,Complaint
"Hello, I want to complain about my order.",Complaint
"Dear Team, The product I received is damaged.",Complaint
My order arrived late. Please help me.,Complaint
The item I purchased is defective. Thank you.,Complaint
I received the wrong product.,Complaint
"Hello, The customer service was very poor.",Complaint
"Dear Team, I am not satisfied with the product.",Complaint
I want a refund for the damaged item. Please help me.,Complaint
My payment was charged twice. Thank you.,Complaint
I am unhappy with the service.,Complaint
"Hello, I want to complain about my order.",Complaint
"Dear Team, The product I received is damaged.",Complaint
My order arrived late. Please help me.,Complaint
The item I purchased is defective. Thank you.,Complaint
I received the wrong product.,Complaint
"Hello, The customer service was very poor.",Complaint
"Dear Team, I am not satisfied with the product.",Complaint
I want a refund for the damaged item. Please help me.,Complaint
My payment was charged twice. Thank you.,Complaint
I am unhappy with the service.,Complaint
"Hello, I want to complain about my order.",Complaint
"Dear Team, The product I received is damaged.",Complaint
My order arrived late. Please help me.,Complaint
The item I purchased is defective. Thank you.,Complaint
I received the wrong product.,Complaint
"Hello, The customer service was very poor.",Complaint
"Dear Team, I am not satisfied with the product.",Complaint
I want a refund for the damaged item. Please help me.,Complaint
My payment was charged twice. Thank you.,Complaint
Could you provide information about your pricing?,Enquiry
"Hello, What are your available plans?",Enquiry
"Dear Team, Can you tell me more about your services?",Enquiry
I would like more information about your product. Please help me.,Enquiry
What are your business hours? Thank you.,Enquiry
How does this service work?,Enquiry
"Hello, Do you provide international delivery?",Enquiry
